,unix_time,bid_price,bid_volume,ask_price,ask_volume
0,1720692000,14077444.0,6,14275000,4
1,1720692300,14483309.0,21,14110948,24
2,1720692600,14173127.0,14,14275772,35
3,1720692900,13846778.0,27,13990416,33
4,1720693200,14112231.0,7,14000823,11
5,1720693500,13840201.0,13,13888991,34
6,1720693800,13801611.0,12,14142882,26
7,1720694100,14023523.0,14,14185684,16
8,1720694400,13910136.0,7,14171429,14
9,1720694700,14351115.0,16,14109676,15
10,1720695000,14567904.0,27,14583949,2
11,1720695300,13869186.0,13,13967582,20
12,1720695600,14087850.0,23,14583808,10
13,1720695900,13929721.0,21,13975584,14
14,1720696200,14207367.0,32,14500244,31
15,1720696500,14567899.0,4,14642266,20
16,1720696800,14370630.0,21,14573721,4
17,1720697100,14574132.0,5,14650276,5
18,1720697400,14289929.0,11,14502816,10
19,1720697700,14479742.0,12,14042825,12
20,1720698000,14478546.0,24,14650000,4
21,1720698300,14314864.0,16,14181517,12
22,1720698600,14248115.0,34,13900303,19
23,1720698900,14305300.0,23,13988316,25
24,1720699200,13966667.0,3,14488015,32
25,1720699500,14012737.0,9,14301224,19
26,1720699800,13929522.0,5,14524274,54
27,1720700100,14539251.0,1,14288988,32
28,1720700400,14139279.0,9,14203714,16
29,1720700700,13759190.0,22,13774792,38
30,1720701000,13252861.0,13,13460196,76
31,1720701300,13600000.0,1,13477033,58
32,1720701600,13650000.0,1,13350419,61
33,1720701900,13695805.0,2,13725538,33
34,1720702200,13549450.0,6,13599323,28
35,1720702500,13825595.0,17,13790284,38
36,1720702800,13881610.0,6,13925458,27
37,1720703100,13881610.0,8,13865965,18
38,1720703400,13718298.0,13,13885759,25
39,1720703700,13495844.0,16,13796897,32
40,1720704000,13254866.0,16,13418198,40
41,1720704300,13854407.0,6,13839315,40
42,1720704600,13881610.0,9,13872564,23
43,1720704900,13616619.0,10,13357739,22
44,1720705200,13523850.0,13,13668198,16
45,1720705500,13895716.0,11,13833346,28
46,1720705800,13901342.0,6,13957663,33
47,1720706100,13713179.0,16,13938895,31
48,1720706400,13879661.0,23,13941940,36
49,1720706700,13837056.0,21,13808952,12
50,1720707000,13902670.0,19,13881608,33
51,1720707300,13844010.0,14,14004068,13
52,1720707600,13564213.0,19,13485793,43
53,1720707900,13753465.0,18,13560045,55
54,1720708200,13858966.0,10,13884778,42
55,1720708500,14094746.0,7,14314284,17
56,1720708800,14026441.0,21,14250964,20
